horizon,mse,rmse,mae,mape,mdape,smape,coverage
49 days,132.11601609367528,11.494173136579912,8.44622952870741,0.09598804500091332,0.06924720745664759,0.09659738781327805,0.62531328320802
50 days,133.4344677049631,11.551383800435474,8.36373682723604,0.09439060115177407,0.06533574141363176,0.0953070578936726,0.6402116402116402
51 days,135.90688945463356,11.65791102447748,8.49387539687581,0.09503939158554871,0.07017347124616394,0.0961283266597765,0.6469298245614036
52 days,141.69982537765588,11.903773577217263,8.792781422362365,0.09834060964106321,0.08033272978314632,0.0991023841634741,0.6415343915343915
53 days,154.56492990442482,12.432414484098606,9.31831150616571,0.10411037146717222,0.08425513183436974,0.1053600217171972,0.6181077694235588
54 days,165.17518128579937,12.852049692006306,9.714655164371644,0.10784486590928291,0.08294592888121574,0.10969954099647265,0.6178571428571429
55 days,177.50116656096534,13.32295637465519,10.157395230480493,0.11222461103604152,0.08827363682684738,0.11430298181683,0.6071428571428571
56 days,178.2735620495269,13.351912299349742,10.157394263000294,0.1120166052997472,0.0936666309061778,0.11404371256436875,0.6190476190476191
57 days,176.7462550793558,13.29459495732592,10.041726645646568,0.11086624914720558,0.08781378713504166,0.11259409702285608,0.6538220551378446
58 days,179.4747634079651,13.396819152618471,10.143361601745244,0.11207189387126755,0.0844536100669058,0.11357980118795694,0.6782581453634086
59 days,185.58800860435227,13.623068986258282,10.455615044914513,0.11611357233823678,0.09516762156816103,0.11723548763415845,0.6773182957393483
60 days,190.20362816821114,13.791433144101129,10.697194659144454,0.11897196563406988,0.0969021912568858,0.12020174732662024,0.6640211640211641
61 days,195.8799122167065,13.995710493458576,10.898419294845079,0.12084707364393507,0.09516762156816103,0.12272896599612089,0.6535714285714286
62 days,201.15620112519844,14.182954597868472,11.112601503083958,0.12376741974480061,0.09597117175078546,0.1254412293017709,0.6572681704260651
63 days,200.51792164627616,14.160435079695686,11.12399390974092,0.12512353271977159,0.0971663014381319,0.12643722336272606,0.6755952380952381
64 days,190.321716189399,13.795713689019463,10.76256316268097,0.12150140517996236,0.09527768506729306,0.12273227468807268,0.7083333333333334
65 days,190.85814730014238,13.815141957292454,10.718085585403776,0.12131503026878705,0.09621092522005043,0.12231728003269887,0.7202380952380952
66 days,200.07890789505655,14.144925163996328,10.984841799485555,0.12432477729320808,0.09897090381890282,0.1251640214363839,0.7130952380952381
67 days,209.89455578474247,14.487738118310341,11.217492025791705,0.12627396618868963,0.0974217181102584,0.12756475971196105,0.7080200501253133
68 days,218.24375861921865,14.773075462449201,11.328520415149436,0.12692381129937474,0.0974217181102584,0.12849264942608135,0.7129629629629629
69 days,238.60693261893562,15.446906894874962,11.66824548697889,0.13032998524483166,0.09841099542997897,0.13178947320937895,0.7212301587301587
70 days,245.88483408995805,15.680715356448443,11.689802315866862,0.13053330406482433,0.09056631967649562,0.13202113542520072,0.7468671679197995
71 days,241.57937275961845,15.542823834799727,11.39675380268976,0.12695290265806491,0.08647128386772016,0.1282955010314384,0.7741228070175439
72 days,240.54125086025363,15.50939234335935,11.231731396988254,0.12488290129382819,0.08271726949112085,0.12584052214675012,0.7845238095238096
73 days,258.3131264607997,16.07212264950712,11.62784350222442,0.12926493198753275,0.08342464791188062,0.13014393506700644,0.7821428571428571
74 days,266.4945382490029,16.324660432885057,11.85659020626521,0.1309000240725059,0.0844731460886724,0.13259245353112628,0.7773809523809524
75 days,263.88099334366683,16.24441421977619,11.786229301417226,0.1296707608426842,0.08535421139143136,0.13190204037471892,0.786967418546366
76 days,273.17334740068503,16.52795654037985,11.965795487095413,0.132368997353165,0.09787856097921843,0.1340031393799342,0.7929197994987469
77 days,272.61775762126825,16.511140409471064,11.974700710146717,0.13345113695258232,0.10963845210924758,0.1348612893242251,0.8105158730158729
78 days,251.95084912446154,15.872959683829022,11.486359858315321,0.1290972877020242,0.10704505555498436,0.13018495116549228,0.8355263157894738
79 days,247.68812200775724,15.738110496745067,11.308791696631685,0.12787061349463685,0.10519280348474433,0.12793011735570026,0.8433583959899749
80 days,261.7960982747571,16.180114284972067,11.634534584960404,0.1320124039562874,0.10869141378067235,0.1316280921249715,0.838032581453634
81 days,267.57926514933257,16.35785026063427,11.854005290732445,0.13439546512989553,0.10869141378067235,0.13442856538879458,0.8424185463659148
82 days,262.99265385968664,16.217048247436605,11.777071986305724,0.13361435933438542,0.11063506926172764,0.1339921830828713,0.8544973544973544
83 days,271.77367334914857,16.485559540068653,11.930185040491963,0.13592670539364518,0.11362535248802304,0.13519652559320922,0.8640873015873015
84 days,272.5922454621999,16.510367817289836,11.971554477560263,0.13690126042875117,0.11253066858761723,0.13575817251393557,0.8715538847117795
85 days,254.47132698931463,15.952157439961361,11.531921408876087,0.13203811946032198,0.10845211901473109,0.1311214640844769,0.882936507936508
86 days,257.79075639142263,16.055863614001666,11.531836933336944,0.13142938640697505,0.10653454766471718,0.13019059505567473,0.8773809523809524
87 days,270.9892151317864,16.46175006285135,11.885006662660738,0.13457894757613928,0.10743525946116736,0.13352720146463337,0.8649749373433584
88 days,271.9142365442661,16.489822210814346,11.982636658133687,0.13489891727968098,0.10539829429406333,0.134728806833266,0.8640350877192983
89 days,265.1939717857237,16.284777302306708,11.93797863411576,0.1339308241722654,0.10593277105686603,0.1338554805116144,0.8671679197994987
90 days,269.90243884674254,16.428707765577382,12.02443357415267,0.13464980029129794,0.10653454766471718,0.13384694326084465,0.8624338624338624
